full_url,relative_url,page_title,slug,meta_title,meta_description,canonical_url,site2_full_url,site2_relative_url,relative_urls_match,site2_page_title,page_titles_match,site2_slug,slugs_match,site2_meta_title,meta_titles_match,site2_meta_description,meta_descriptions_match,site2_canonical_url,canicol_urls_match
https://blog.thelowdown.com/,/,Home - The Lowdown,,Home - The Lowdown,"The Lowdown's library of knowledge on every method, side effect and women's health issues",https://blog.thelowdown.com,http://localhost/thelowdown/wp/,/,TRUE,Home - The Lowdown,TRUE,,TRUE,Home - The Lowdown,TRUE,"The Lowdown's library of knowledge on every method, side effect and women's health issues",TRUE,https://blog.thelowdown.com,TRUE
https://blog.thelowdown.com/blog/the-combined-pill-brands,/blog/the-combined-pill-brands,Combined Pill Brands Explained - The Lowdown,the-combined-pill-brands,Combined Pill Brands Explained - The Lowdown,"A detailed guide to the different brands of combined pill in the UK; from Cilest to Yasmin, and everything in-between.",https://thelowdown.com/blog/the-combined-pill-brands,http://localhost/thelowdown/wp/blog/the-combined-pill-brands,/blog/the-combined-pill-brands,TRUE,The Combined Pill -Your Guide To The Different Brands | The Lowdown,FALSE,the-combined-pill-brands,TRUE,The Combined Pill -Your Guide To The Different Brands | The Lowdown,FALSE,"A detailed guide to the different brands of combined pill in the UK; from Cilest to Yasmin, and everything in-between.",TRUE,https://thelowdown.com/blog/the-combined-pill-brands,TRUE
https://blog.thelowdown.com/blog/how-to-inject-sayana-press-at-home,/blog/how-to-inject-sayana-press-at-home,How To Use Sayana Press Contraceptive Injection | The Lowdown,how-to-inject-sayana-press-at-home,How To Use Sayana Press Contraceptive Injection | The Lowdown,"In this video, Dr Becky explains how to inject yourself with the Sayana Press contraceptive injection at home.",https://thelowdown.com/blog/how-to-inject-sayana-press-at-home,http://localhost/thelowdown/wp/blog/how-to-inject-sayana-press-at-home,/blog/how-to-inject-sayana-press-at-home,TRUE,How To Use Sayana Press Contraceptive Injection | The Lowdown,TRUE,how-to-inject-sayana-press-at-home,TRUE,How To Use Sayana Press Contraceptive Injection | The Lowdown,TRUE,"In this video, Dr Becky explains how to inject yourself with the Sayana Press contraceptive injection at home.",TRUE,https://thelowdown.com/blog/how-to-inject-sayana-press-at-home,TRUE
https://blog.thelowdown.com/blog/our-most-popular-contraceptives-ius-v-combination-pill,/blog/our-most-popular-contraceptives-ius-v-combination-pill,The IUS vs Combined Pill; Which is Better? | The Lowdown,our-most-popular-contraceptives-ius-v-combination-pill,The IUS vs Combined Pill; Which is Better? | The Lowdown,How do the top two rated contraceptives by The Lowdown users compare side by side? A guide to the IUS vs the combined pill.,https://thelowdown.com/blog/our-most-popular-contraceptives-ius-v-combination-pill,http://localhost/thelowdown/wp/blog/our-most-popular-contraceptives-ius-v-combination-pill,/blog/our-most-popular-contraceptives-ius-v-combination-pill,TRUE,The IUS vs Combined Pill; Which is Better? | The Lowdown,TRUE,our-most-popular-contraceptives-ius-v-combination-pill,TRUE,The IUS vs Combined Pill; Which is Better? | The Lowdown,TRUE,How do the top two rated contraceptives by The Lowdown users compare side by side? A guide to the IUS vs the combined pill.,TRUE,https://thelowdown.com/blog/our-most-popular-contraceptives-ius-v-combination-pill,TRUE
https://blog.thelowdown.com/blog/blood-clots-and-contraception-what-are-the-risks,/blog/blood-clots-and-contraception-what-are-the-risks,Blood Clots & The Pill - What Are The Risks? | The Lowdown,blood-clots-and-contraception-what-are-the-risks,Blood Clots & The Pill - What Are The Risks? | The Lowdown,"Different birth control methods have different risks for blood clots, and those taking the combined pill have a higher risk. Read more.",https://thelowdown.com/blog/blood-clots-and-contraception-what-are-the-risks,http://localhost/thelowdown/wp/blog/blood-clots-and-contraception-what-are-the-risks,/blog/blood-clots-and-contraception-what-are-the-risks,TRUE,Blood Clots & The Pill - What Are The Risks? | The Lowdown,TRUE,blood-clots-and-contraception-what-are-the-risks,TRUE,Blood Clots & The Pill - What Are The Risks? | The Lowdown,TRUE,"Different birth control methods have different risks for blood clots, and those taking the combined pill have a higher risk. Read more.",TRUE,https://thelowdown.com/blog/blood-clots-and-contraception-what-are-the-risks,TRUE
https://blog.thelowdown.com/blog/morning-after-pill-guide,/blog/morning-after-pill-guide,A Complete Guide To The Morning After Pill | The Lowdown,morning-after-pill-guide,A Complete Guide To The Morning After Pill | The Lowdown,What is the morning after pill and how does it work? Get the lowdown in this complete guide to emergency contraception.,https://thelowdown.com/blog/morning-after-pill-guide,http://localhost/thelowdown/wp/blog/morning-after-pill-guide,/blog/morning-after-pill-guide,TRUE,A Complete Guide To The Morning After Pill | The Lowdown,TRUE,morning-after-pill-guide,TRUE,A Complete Guide To The Morning After Pill | The Lowdown,TRUE,What is the morning after pill and how does it work? Get the lowdown in this complete guide to emergency contraception.,TRUE,https://thelowdown.com/blog/morning-after-pill-guide,TRUE
https://blog.thelowdown.com/blog/mirena-coil-menopause,/blog/mirena-coil-menopause,Mirena Coil and Menopause Facts - The Lowdown,mirena-coil-menopause,Mirena Coil and Menopause Facts - The Lowdown,What happens when you hit menopause with a Mirena coil in place? Your questions answered by the contraceptive experts at The Lowdown.,https://thelowdown.com/blog/mirena-coil-menopause,http://localhost/thelowdown/wp/blog/mirena-coil-menopause,/blog/mirena-coil-menopause,TRUE,Mirena Coil and Menopause Facts - The Lowdown,TRUE,mirena-coil-menopause,TRUE,Mirena Coil and Menopause Facts - The Lowdown,TRUE,What happens when you hit menopause with a Mirena coil in place? Your questions answered by the contraceptive experts at The Lowdown.,TRUE,https://thelowdown.com/blog/mirena-coil-menopause,TRUE
https://blog.thelowdown.com/blog/the-lowdowns-january-newsletter,/blog/the-lowdowns-january-newsletter,The Lowdown's January newsletter - The Lowdown,the-lowdowns-january-newsletter,The Lowdown's January newsletter - The Lowdown,"Sign up to the best women’s health newsletter on the internet, to get more juicy insights such as new PCOS symptoms and new postnatal depression research",https://thelowdown.com/blog/the-lowdowns-january-newsletter,http://localhost/thelowdown/wp/blog/the-lowdowns-january-newsletter,/blog/the-lowdowns-january-newsletter,TRUE,The Lowdown's January newsletter - The Lowdown,TRUE,the-lowdowns-january-newsletter,TRUE,The Lowdown's January newsletter - The Lowdown,TRUE,"Sign up to the best women’s health newsletter on the internet, to get more juicy insights such as new PCOS symptoms and new postnatal depression research",TRUE,https://thelowdown.com/blog/the-lowdowns-january-newsletter,TRUE
https://blog.thelowdown.com/blog/breastfeeding-contraception,/blog/breastfeeding-contraception,Breastfeeding And Contraception: Your Options | The Lowdown,breastfeeding-contraception,Breastfeeding And Contraception: Your Options | The Lowdown,Breastfeeding is 98% effective as a method of contraception if done correctly. Get the lowdown on the Lactational Amenorrhoea Method (LAM).,https://thelowdown.com/blog/breastfeeding-contraception,http://localhost/thelowdown/wp/blog/breastfeeding-contraception,/blog/breastfeeding-contraception,TRUE,Breastfeeding And Contraception: Your Options | The Lowdown,TRUE,breastfeeding-contraception,TRUE,Breastfeeding And Contraception: Your Options | The Lowdown,TRUE,Breastfeeding is 98% effective as a method of contraception if done correctly. Get the lowdown on the Lactational Amenorrhoea Method (LAM).,TRUE,https://thelowdown.com/blog/breastfeeding-contraception,TRUE
https://blog.thelowdown.com/blog/tag/injection,/blog/tag/injection,injection Archives - The Lowdown,injection,injection Archives - The Lowdown,N/A,/blog/tag/injection,http://localhost/thelowdown/wp/blog/tag/injection,/blog/tag/injection,TRUE,injection Archives - The Lowdown,TRUE,injection,TRUE,injection Archives - The Lowdown,TRUE,N/A,TRUE,/blog/tag/injection,TRUE
https://blog.thelowdown.com/blog/hana-pill-cost,/blog/hana-pill-cost,How Much Does the Hana Contraceptive Pill Cost? | The Lowdown,hana-pill-cost,How Much Does the Hana Contraceptive Pill Cost? | The Lowdown,Hana is a contraceptive pill that can be purchased over the counter or online for as little as £16.80. You can also get it on subscription...,https://thelowdown.com/blog/hana-pill-cost,http://localhost/thelowdown/wp/blog/hana-pill-cost,/blog/hana-pill-cost,TRUE,How Much Does the Hana Contraceptive Pill Cost? | The Lowdown,TRUE,hana-pill-cost,TRUE,How Much Does the Hana Contraceptive Pill Cost? | The Lowdown,TRUE,Hana is a contraceptive pill that can be purchased over the counter or online for as little as £16.80. You can also get it on subscription...,TRUE,https://thelowdown.com/blog/hana-pill-cost,TRUE
