term_id,name,slug
2,contraception,contraception
3,eating disorder,eating-disorder
4,Implant,implant
6,my story,my-story
7,university,university
9,Cerazette,cerazette
11,Mycrogynon,mycrogynon
13,relationship,relationship
14,weight gain,weight-gain
16,birth control,birth-control
18,History of birth control,history-of-birth-control
19,Contraceptive journey,contraceptive-journey
20,The implant,the-implant
21,eco-friendly,eco-friendly
23,periods,periods
24,sustainable,sustainable
26,contraception in lockdown,contraception-in-lockdown
27,coronavirus,coronavirus
28,sex,sex
29,sex in lockdown,sex-in-lockdown
30,contraceptive pill,contraceptive-pill
31,Dr Sarah E Hill,dr-sarah-e-hill
32,How the Pill Changes Everything,how-the-pill-changes-everything
33,emergency cystectomy,emergency-cystectomy
34,PCOS,pcos
35,smear test,smear-test
36,Mary Beatrice Kenner,mary-beatrice-kenner
37,menstrual cycle,menstrual-cycle
38,Racism,racism
39,sanitary belt,sanitary-belt
40,Hormones,hormones
41,PMDD,pmdd
42,birth control pill,birth-control-pill
43,sexual health cuts,sexual-health-cuts
44,Yasmin pill,yasmin-pill
45,Daye,daye
46,Dr. Yolanda Kirkham,dr-yolanda-kirkham
47,period poo,period-poo
48,combined pill,combined-pill
49,mental health,mental-health
50,Rigevidon,rigevidon
65,male sexy toys,male-sexy-toys
66,masturbation,masturbation
67,tenga,tenga
68,vibrator,vibrator
70,the patch,the-patch
71,endometriosis,endometriosis
72,PCSO,pcso
73,period pain,period-pain
74,birthcontrol,birthcontrol
76,the injection,the-injection
77,thepill,thepill
78,research,research
79,survey,survey
80,copper coil,copper-coil
81,IUD,iud
82,depression,depression
83,pull out method,pull-out-method
86,coming off the pill,coming-off-the-pill
87,coming off the birth control pill,coming-off-the-birth-control-pill
88,the pill,the-pill
89,moods,moods
90,fertiltiy,fertiltiy
91,pregnancy,pregnancy
94,Nuvaring,nuvaring
95,vaginal ring,vaginal-ring
96,NHS,nhs
97,emergency contraception,emergency-contraception
98,morning after pill,morning-after-pill
99,the copper coil,the-copper-coil
100,emergency pill,emergency-pill
103,Pre-cum,pre-cum
104,pre-ejaculation,pre-ejaculation
105,withdrawal method,withdrawal-method
106,pull-out method,pull-out-method-2
108,male vasectomy,male-vasectomy
109,vasectomy,vasectomy
111,concerning contraception,concerning-contraception
113,Natural family planning,natural-family-planning
114,Natural contraception,natural-contraception
115,Clue,clue
116,Natural Cycles,natural-cycles
117,side effects,side-effects
118,Yasmin,yasmin
119,Cilest,cilest
120,Microgynon 30,microgynon-30
121,Microgynon ED,microgynon-ed
122,jaydess,jaydess
123,mirena,mirena
124,coil,coil
125,IUS,ius
126,antibiotics and birth control,antibiotics-and-birth-control
127,antibiotics and contraception,antibiotics-and-contraception
128,antibiotics and the pill,antibiotics-and-the-pill
129,antibiotics,antibiotics
130,Mirena coil,mirena-coil
131,hormonal coil,hormonal-coil
154,switching contraception,switching-contraception
155,changing contraception,changing-contraception
156,covid,covid
157,cervical ectropion,cervical-ectropion
158,discharge,discharge
159,covid-19,covid-19
160,vaccine,vaccine
161,fertility,fertility
162,headaches,headaches
163,migraines,migraines
164,pill,pill
165,pill and weight gain,pill-and-weight-gain
166,pill cause weight gain,pill-cause-weight-gain
167,coil fitting,coil-fitting
168,iud pain relief,iud-pain-relief
169,coil pain relief,coil-pain-relief
171,iud removal,iud-removal
172,coil removal,coil-removal
173,hair loss,hair-loss
174,androgens,androgens
175,ovulation bleeding,ovulation-bleeding
176,ovulation,ovulation
177,contraception online,contraception-online
178,pill prescription,pill-prescription
179,pregnant,pregnant
180,nexplanon,nexplanon
181,effectiveness,effectiveness
182,menopause,menopause
183,hrt,hrt
184,bleeding,bleeding
185,acne,acne
186,skin,skin
187,GP,gp
188,online doctor,online-doctor
192,CBD,cbd
193,combine oral contraceptive pill,combine-oral-contraceptive-pill
194,smoking,smoking
195,weed,weed
196,barrier method,barrier-method
197,chlamydia,chlamydia
198,condoms,condoms
199,female condom,female-condom
200,genital warts,genital-warts
201,gonorrhoea,gonorrhoea
202,herpes,herpes
203,HIV,hiv
204,HPV,hpv
205,male condom,male-condom
206,sexual health,sexual-health
207,sexually transmitted infection,sexually-transmitted-infection
208,STI,sti
209,testing,testing
210,treatment,treatment
211,women's health,womens-health
212,PMS,pms
213,premenstrual syndrome,premenstrual-syndrome
214,premenstrual dysphoric disorder,premenstrual-dysphoric-disorder
215,cramps,cramps
216,breastfeeding,breastfeeding
217,LAM,lam
218,non-hormonal,non-hormonal
219,spotting,spotting
220,mini pill,mini-pill
221,progestogen-only pill,progestogen-only-pill
222,POP,pop
223,desogestrel,desogestrel
224,eloine,eloine
225,zoely,zoely
226,microgynon,microgynon
227,noriday,noriday
228,pain relief,pain-relief
229,symptoms,symptoms
230,itchy vagina,itchy-vagina
231,thrush,thrush
232,vaginal dryness,vaginal-dryness
233,sex drive,sex-drive
234,libido,libido
235,hormonal contraception,hormonal-contraception
238,Georgia,georgia
240,Melanie,melanie
259,Mary,mary
260,Mary Hargreaves,mary-hargreaves
261,Hatty Wilmoth,hatty-wilmoth
262,Maddie Braidwood,maddie-braidwood
263,removal,removal
264,IUB,iub
265,Ballerine,ballerine
266,fitting,fitting
267,Sophie King,sophie-king
268,hormone free,hormone-free
269,male contraception,male-contraception
270,injection,injection
271,sayana press,sayana-press
272,depo-provera,depo-provera
273,lucette,lucette
275,Natalie Healey,natalie-healey
277,blood clots,blood-clots
278,risks,risks
279,oestrogen,oestrogen
280,Angela Wipperman,angela-wipperman
281,progestogen,progestogen
282,Dr Fran,dr-fran
283,Fran Yarlett,fran-yarlett
285,personal story,personal-story
286,kyleena,kyleena
287,Laura Keyes,laura-keyes
288,Emma Scott,emma-scott
289,The Lowdown,the-lowdown
290,blood pressure,blood-pressure
291,Frances Yarlett,frances-yarlett
292,abortion,abortion
294,poo,poo
295,sex toys,sex-toys
296,webinar,webinar
297,Colin Duncan,colin-duncan
298,Eppie Shepherd,eppie-shepherd
299,Alice Pelton,alice-pelton
300,patch,patch
301,mood,mood
302,levonorgestrel,levonorgestrel
303,ethinylestradiol,ethinylestradiol
304,hirsuism,hirsuism
305,hair,hair
306,drospirenone,drospirenone
307,missed pill,missed-pill
308,Erin Damico,erin-damico
309,luteal,luteal
310,follicular,follicular
311,gestodene,gestodene
312,progestin,progestin
313,androgenic,androgenic
314,government,government
315,Erim Damico,erim-damico
316,norgestimate,norgestimate
317,norethisterone,norethisterone
318,progesterone,progesterone
319,hormone,hormone
320,bloating,bloating
321,covid vaccine,covid-vaccine
322,Etonogestrel,etonogestrel
324,Alice Pelt,alice-pelt
325,sterilisation,sterilisation
326,female sterilisation,female-sterilisation
327,Norelgestromin,norelgestromin
328,childbirth,childbirth
329,Dr Mel,dr-mel
330,Melanie Davis Hall,melanie-davis-hall
331,Dorcas Onabanjo,dorcas-onabanjo
332,vagina,vagina
333,vulva,vulva
334,BV,bv
335,sore,sore
336,condom,condom
337,Mestranol,mestranol
338,Estradiol valerate,estradiol-valerate
339,nomegestrol acetate,nomegestrol-acetate
340,Norethisterone Enanthate,norethisterone-enanthate
341,Dr Becky,dr-becky
342,Becky Mawson,becky-mawson
343,femtech,femtech
346,cervical cancer,cervical-cancer
347,Jo's Cervical Cancer Trust,jos-cervical-cancer-trust
348,Dr Becky Mawson,dr-becky-mawson
349,lichen sclerosus,lichen-sclerosus
351,Kimberley Malone Crossley,kimberley-malone-crossley
352,IBS,ibs
353,IBD,ibd
354,Georgia Gallant,georgia-gallant
355,Kimberly Malone Crossley,kimberly-malone-crossley
357,Li Sa Choo,li-sa-choo
358,D-mannose,d-mannose
359,UTI,uti
361,Hayley Johnson,hayley-johnson
363,syreniring,syreniring
364,switching,switching
365,Milly Evans,milly-evans
366,period,period
370,Brenna Weaver,brenna-weaver
371,Dr Brenna,dr-brenna
372,vaginal health,vaginal-health
373,UTIs,utis
375,Phoeby Narenthiran,phoeby-narenthiran
376,lube,lube
377,hiring,hiring
378,careers,careers
379,jobs,jobs
380,boobs,boobs
382,cancer,cancer
383,sore boobs,sore-boobs
384,sore breasts,sore-breasts
385,starflower oil,starflower-oil
386,bacterial vaginosis,bacterial-vaginosis
387,vaginal atrophy,vaginal-atrophy
388,heavy periods,heavy-periods
389,tranexamic acid,tranexamic-acid
397,Grace Jessop,grace-jessop
398,sexual health clinic,sexual-health-clinic
399,relactagel,relactagel
401,Dr Silvia,dr-silvia
402,Silvia Anie-Akwetey,silvia-anie-akwetey
403,painful sex,painful-sex
405,Lucy Rowett,lucy-rowett
406,anxiety,anxiety
408,Dani Conlon,dani-conlon
409,orgasm anxiety,orgasm-anxiety
410,sex coaching,sex-coaching
412,royal mail strikes,royal-mail-strikes
413,delivery,delivery
414,menstrual cup,menstrual-cup
415,slynd,slynd
416,Everything you need to know about Slynd: The new progestogen-only pill,everything-you-need-to-know-about-slynd-the-new-progestogen-only-pill
417,Dr Silvia Anie-Akwetey,dr-silvia-anie-akwetey
418,Sex in pregnancy,sex-in-pregnancy
419,Fertility awareness,fertility-awareness
420,Oura ring,oura-ring
422,Bethany Weatherhead,bethany-weatherhead
424,Danielle Robinson,danielle-robinson
425,Dr Danielle,dr-danielle
427,Zaakira Mahomed,zaakira-mahomed
428,Dr Zaakira,dr-zaakira
429,Can you use Microgynon as emergency contraception?,can-you-use-microgynon-as-emergency-contraception
430,hana,hana
431,cervical screening,cervical-screening
433,Anoushka Menon,anoushka-menon
434,gynefix,gynefix
437,fertile window,fertile-window
438,EllaOne,ellaone
439,iud pain,iud-pain
440,reviews,reviews
441,best contraception,best-contraception
442,Dr Nikki Ramskill,dr-nikki-ramskill
446,perimenopause,perimenopause
450,FAQs,faqs
451,study,study
