site1_url,site1_written_by,site1_reviewed_by,site2_url,site2_written_by,site2_reviewed_by
https://blog.thelowdown.com/,N/A,N/A,http://localhost/thelowdown/wp/,"



Does Microgynon stop or delay your period?
",View all 
https://blog.thelowdown.com/blog/the-contraceptive-patch-everything-you-need-to-know,Maddie Braidwood,Dr Becky Mawson,http://localhost/thelowdown/wp/blog/the-contraceptive-patch-everything-you-need-to-know,Skip to content,Maddie Braidwood
https://blog.thelowdown.com/blog/what-is-adenomyosis,Fatema Dawoodbhoy,Dr Fran Yarlett,http://localhost/thelowdown/wp/blog/what-is-adenomyosis,Fatema Dawoodbhoy,Dr Fran Yarlett
https://blog.thelowdown.com/blog/mirena-vs-copper-coil,Sophie King,Dr. Fran Yarlett,http://localhost/thelowdown/wp/blog/mirena-vs-copper-coil,Sophie King,Dr Fran Yarlett
https://blog.thelowdown.com/blog/menopause-fatigue-tiredness,Dr Fran Yarlett,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/menopause-fatigue-tiredness,Dr Fran Yarlett,Dr Melanie Davis-Hall
https://blog.thelowdown.com/blog/the-dos-and-donts-of-using-lubricant,Mary Hargreaves,Dr Becky Mawson,http://localhost/thelowdown/wp/blog/the-dos-and-donts-of-using-lubricant,Mary Hargreaves,Dr Becky Mawson
https://blog.thelowdown.com/blog/jaydess-v-mirena-coil,Sophie King,Dr Fran Yarlett,http://localhost/thelowdown/wp/blog/jaydess-v-mirena-coil,Sophie King,Dr Fran Yarlett
https://blog.thelowdown.com/blog/tag/ius,N/A,N/A,http://localhost/thelowdown/wp/blog/tag/ius,"



IUS vs IUD – what’s the difference and which is best?
",N/A
https://blog.thelowdown.com/blog/period-pain-mefenamic-acid,Mary Hargreaves,Dr Fran Yarlett,http://localhost/thelowdown/wp/blog/period-pain-mefenamic-acid,Mary Hargreaves,Dr Fran Yarlett
https://blog.thelowdown.com/blog/hana-missed-pill-guide,Dr Fran Yarlett,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/hana-missed-pill-guide,Dr Fran Yarlett,Dr Melanie Davis-Hall
https://blog.thelowdown.com/blog/can-you-get-pregnant-on-the-pill,Maddie Braidwood,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/can-you-get-pregnant-on-the-pill,Skip to content,Maddie Braidwood
https://blog.thelowdown.com/blog/how-long-does-it-take-for-birth-control-to-work,Maddie Braidwood,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/how-long-does-it-take-for-birth-control-to-work,Maddie Braidwood,Dr Melanie Davis-Hall
https://blog.thelowdown.com/blog/how-to-inject-sayana-press-at-home,The Lowdown,N/A,http://localhost/thelowdown/wp/blog/how-to-inject-sayana-press-at-home,The Lowdown,order the Sayana Press injection
https://blog.thelowdown.com/blog/contraception-after-birth,Dr Fran Yarlett,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/contraception-after-birth,Skip to content,Dr Fran Yarlett
https://blog.thelowdown.com/blog/ovulation-pain,Hatty Wilmoth,Dr. Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/ovulation-pain,Hatty Wilmoth,Dr Melanie Davis-Hall
https://blog.thelowdown.com/blog/choosing-the-best-contraceptive-pill,Maddie Braidwood,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/choosing-the-best-contraceptive-pill,Skip to content,Maddie Braidwood
https://blog.thelowdown.com/blog/microgynon-and-pcos,The Lowdown,N/A,http://localhost/thelowdown/wp/blog/microgynon-and-pcos,The Lowdown,Dr Melanie Davis-Hall
https://blog.thelowdown.com/blog/contraceptive-pill-hair-loss,Laura Keyes,Dr Fran Yarlett,http://localhost/thelowdown/wp/blog/contraceptive-pill-hair-loss,Laura Keyes,Dr Fran Yarlett
https://blog.thelowdown.com/blog/covid-19-vaccine-fertility-periods,Dr Fran Yarlett,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/covid-19-vaccine-fertility-periods,Dr Fran Yarlett,Dr Melanie Davis-Hall
https://blog.thelowdown.com/blog/the-lowdown-on-covid-19-vaccine-periods-fertility,The Lowdown,N/A,http://localhost/thelowdown/wp/blog/the-lowdown-on-covid-19-vaccine-periods-fertility,The Lowdown,Dr Fatima Husain
https://blog.thelowdown.com/blog/tag/covid-vaccine,N/A,N/A,http://localhost/thelowdown/wp/blog/tag/covid-vaccine,"



The Lowdown on the COVID-19 vaccine: Periods and fertility with the NHS
",N/A
https://blog.thelowdown.com/blog/tag/bloating,N/A,N/A,http://localhost/thelowdown/wp/blog/tag/bloating,"



Ovulation pain: what’s normal and what’s not
",N/A
https://blog.thelowdown.com/blog/tag/perimenopause,N/A,N/A,http://localhost/thelowdown/wp/blog/tag/perimenopause,"



Fibroids after menopause
","



How to manage sleep problems in perimenopause
"
https://blog.thelowdown.com/blog/tag/childbirth,N/A,N/A,http://localhost/thelowdown/wp/blog/tag/childbirth,"



I’ve had a baby – I need a break before the next! Contraception after birth
",Privacy & Cookie policy
https://blog.thelowdown.com/blog/nomegestrol-acetate,The Lowdown,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/nomegestrol-acetate,The Lowdown,Dr Melanie Davis-Hall
https://blog.thelowdown.com/blog/tag/coil,N/A,N/A,http://localhost/thelowdown/wp/blog/tag/coil,"



IUS vs IUD – what’s the difference and which is best?
",N/A
https://blog.thelowdown.com/blog/tag/symptoms,N/A,N/A,http://localhost/thelowdown/wp/blog/tag/symptoms,"



Can mefenamic acid help with heavy and painful periods?
",N/A
https://blog.thelowdown.com/blog/mirena-coil-removal,Maddie Braidwood,Dr Fran Yarlett,http://localhost/thelowdown/wp/blog/mirena-coil-removal,Maddie Braidwood,Dr Fran Yarlett
https://blog.thelowdown.com/blog/tag/heavy-periods,N/A,N/A,http://localhost/thelowdown/wp/blog/tag/heavy-periods,"



Blood clots in your period: is it normal?
",N/A
https://blog.thelowdown.com/blog/how-do-i-delay-my-period,Maddie Braidwood,Dr. Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/how-do-i-delay-my-period,Maddie Braidwood,Dr Melanie Davis-Hall
https://blog.thelowdown.com/blog/iud-brands,Fatema Dawoodbhoy,Dr Fran Yarlett,http://localhost/thelowdown/wp/blog/iud-brands,Fatema Dawoodbhoy,Dr Fran Yarlett
https://blog.thelowdown.com/blog/can-you-get-pregnant-during-perimenopause,Dr Samantha Ike,Dr Fran Yarlett,http://localhost/thelowdown/wp/blog/can-you-get-pregnant-during-perimenopause,N/A,N/A
https://blog.thelowdown.com/blog/tag/dr-fran,N/A,N/A,http://localhost/thelowdown/wp/blog/tag/dr-fran,N/A,N/A
https://blog.thelowdown.com/blog/what-is-the-best-contraceptive-injection,Maddie Braidwood,Dr. Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/what-is-the-best-contraceptive-injection,N/A,N/A
https://blog.thelowdown.com/blog/vaginal-dryness,Dr Brenna Weaver,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/vaginal-dryness,Dr Brenna Weaver,Dr Melanie Davis-Hall
https://blog.thelowdown.com/blog/best-treatments-endometriosis,The Lowdown,Dr Melanie Davis-Hall,http://localhost/thelowdown/wp/blog/best-treatments-endometriosis,The Lowdown,Dr Melanie Davis-Hall
