URL on Site 1,Title 1,Meta Title 1,Meta Description 1,Slug 1,URL on Site 2,Title 2,Meta Title 2,Meta Description 2,Slug 2
http://localhost/thelowdown/wp/#therapy,Home - The Lowdown,,"The Lowdown's library of knowledge on every method, side effect and women's health issues",wp,https://blog.thelowdown.com/,Blog2 - The Lowdown,,,
http://localhost/thelowdown/wp/blog/racial-disparity-endometriosis-diagnosis,Racial disparities in endometriosis diagnosis for Black Women,,Everything you need to know about the systemic barriers faced by Black women when seeking a diagnosis for endometriosis. Plus the current research and practical advice to help you advocate for yourself.,racial-disparity-endometriosis-diagnosis,,,,,
http://localhost/thelowdown/wp/blog/heavy-periods-at-work,Coping with Heavy Periods at Work | The Lowdown,,"Heavy periods can be stressful, distracting and downright difficult to deal with - get the lowdown on these tips to help you cope with heavy periods at work",heavy-periods-at-work,,,,,
http://localhost/thelowdown/wp/blog/should-i-worry-about-heavy-periods,Should I Worry About Heavy Periods? | The Lowdown,,"Heavy periods can feel like a burden to deal with, but do you need to worry? Get the lowdown on the whats, whys and treatment how-tos of heavy periods.",should-i-worry-about-heavy-periods,,,,,
http://localhost/thelowdown/wp/blog/how-long-does-menopause-last,How Long Does the Menopause Last? - The Lowdown,,"Most people want to know how long menopausal symptoms will last, but there's no simple answer to this one - sorry! Every person's menopause is different .",how-long-does-menopause-last,,,,,
http://localhost/thelowdown/wp/blog/how-long-does-hrt-take-to-work,How Long Does HRT Take to Work? - The Lowdown,,"It can take up to 3 months for your HRT to work, but within 3 months you should be noticing some improvements to your menopause symptoms",how-long-does-hrt-take-to-work,,,,,
http://localhost/thelowdown/wp/blog/pcos-fertility,PCOS & Fertility: Can You Get Pregnant with PCOS?,,Get the lowdown from our doctors on PCOS fertility and real experience stories of trying to conceive with PCOS.,pcos-fertility,,,,,
http://localhost/thelowdown/wp/blog/how-to-increase-fertility,How to Increase Fertility: Trying to Conceive Tips - The Lowdown,,Get the lowdown from our doctors and fertility specialist on how to increase your fertility for trying to conceive.,how-to-increase-fertility,,,,,
http://localhost/thelowdown/wp/blog/who-we-work-with,Who We Work With The Lowdown,,Learn more about how The Lowdown works with partner brands and how we make money.,who-we-work-with,,,,,
http://localhost/thelowdown/wp/blog/periods-pill-real-fake,Are Periods On The Pill Real Or Fake? | The Lowdown,,"Bleeding experienced during pill-free breaks on combined contraception such as the pill, patch or ring is called withdrawal bleeding.",periods-pill-real-fake,,,,,
http://localhost/thelowdown/wp/blog/my-experience-of-the-injection-and-fertility,Contraceptive Experience: Injection & Fertility | The Lowdown,,"Shannon shares her experience of the contraceptive injection, the return to fertility and what she wished she had known beforehand.",my-experience-of-the-injection-and-fertility,,,,,
http://localhost/thelowdown/wp/blog/my-contraceptive-journey-no-this-pill-isnt-the-same-as-the-one-before-2,Contraceptive Journey: Microgynon to Rigevidon | The Lowdown,,"Despite being promised that the second pill she was prescribed was the same as before, Leah experienced some extreme changes.",my-contraceptive-journey-no-this-pill-isnt-the-same-as-the-one-before-2,,,,,
http://localhost/thelowdown/wp/blog/ovulation-pain,Ovulation Pain: What's Normal And What's Not | The Lowdown,,"Ovulation pain can be short-lived, but for some it may be a longer-lasting discomfort. What's normal and when should you speak to a doctor?",ovulation-pain,,,,,
http://localhost/thelowdown/wp/blog/tag/ovulation,ovulation Archives - The Lowdown,,,ovulation,,,,,
http://localhost/thelowdown/wp/blog/best-contraceptives-rated-by-you,We’ve announced our best contraceptives - as rated by you! The Lowdown,,We worked out the best contraceptives for each category by taking all of the contraceptives with over 100 reviews on our site,best-contraceptives-rated-by-you,,,,,
http://localhost/thelowdown/wp/blog/tag/endometriosis,endometriosis Archives - The Lowdown,,,endometriosis,,,,,
http://localhost/thelowdown/wp/blog/tag/mycrogynon,Mycrogynon Archives - The Lowdown,,,mycrogynon,,,,,
http://localhost/thelowdown/wp/blog/pcos-acne-treatment,PCOS acne treatments - The Lowdown,,"Get the lowdown on the causes of PCOS acne, how to tell the difference between hormonal acne and PCOS acne and the best treatments for it",pcos-acne-treatment,,,,,
http://localhost/thelowdown/wp/blog/signs-youre-losing-too-much-blood-during-period,Signs You're Losing Too Much Blood During Your Period - The Lowdown,,Have you ever wondered how much blood you lose on your period? Get the lowdown on the causes of heavy periods and treatments,signs-youre-losing-too-much-blood-during-period,,,,,
http://localhost/thelowdown/wp/blog/endometriosis-bloating,What is 'endo belly'? Endometriosis and bloating - The Lowdown,,"Get the lowdown from our doctors on endometriosis bloating, symptoms and treatments for 'endo belly' and when you should go to your doctor",endometriosis-bloating,,,,,
http://localhost/thelowdown/wp/blog/tag/combined-pill,combined pill Archives - The Lowdown,,,combined-pill,,,,,
http://localhost/thelowdown/wp/author/the-lowdown,The Lowdown - The Lowdown,,,the-lowdown,,,,,
http://localhost/thelowdown/wp/blog/norelgestromin,Norelgestromin | The Lowdown,,"Norelgestromin is a third-generation synthetic progestin, making it a pretty recent addition to the collection of contraceptive hormones.",norelgestromin,,,,,
http://localhost/thelowdown/wp/author/laura-keyes,Laura Keyes - The Lowdown,,,laura-keyes,,,,,
